Country,Country_Code,Year,Primary_Enrollment,GDP_per_capita
Brazil,BRA,2001,19727684.0,6788.57656201416
Brazil,BRA,2002,19380388.0,6904.6253073595
Brazil,BRA,2003,18919122.0,6896.13719435172
Brazil,BRA,2004,18979208.0,7206.26179832942
Brazil,BRA,2005,18661104.0,7352.28258589388
Brazil,BRA,2007,17996084.0,7936.82442801739
Brazil,BRA,2008,17812436.0,8258.61588399477
Brazil,BRA,2009,17451886.0,8169.26241967776
Brazil,BRA,2010,16893490.0,8702.25533075519
Brazil,BRA,2011,16486880.0,8965.62055746199
Brazil,BRA,2012,16134889.0,9056.58043788945
Brazil,BRA,2013,16760693.0,9247.5733810643
Brazil,BRA,2014,16630217.0,9214.97724357405
Brazil,BRA,2015,16299166.0,8813.98980647828
Brazil,BRA,2016,16118565.0,8455.31234246959
Brazil,BRA,2017,16106812.0,8498.29390646058
Brazil,BRA,2018,15951913.0,8582.33863665038
Brazil,BRA,2019,15690307.0,8622.06659859425
